anime_id,title,title_japanese,image_url,type,source,episodes,status,aired_string,duration,rating,score,scored_by,rank,popularity,studio,genre
4209,Mission-E,MISSION-E,https://myanimelist.cdn-dena.com/images/anime/11/9006.jpg,TV,Original,12,Finished Airing,"Jul 8, 2008 to Sep 23, 2008",24 min. per ep.,PG - Children,6.55,1618,5416.0,5132,Studio Deen,"Action, Comedy, School, Sci-Fi"
10048,Fuyu no Semi Special,冬の蝉 ~特別編集版~,https://myanimelist.cdn-dena.com/images/anime/9/27755.jpg,OVA,Manga,1,Finished Airing,"Mar 26, 2008",1 hr. 38 min.,R+ - Mild Nudity,7.3,1021,,5855,Venet,"Action, Military, Historical, Drama, Samurai, Yaoi"
2870,Yagami Yuu,八神優 (アニメ),https://myanimelist.cdn-dena.com/images/anime/5/26909.jpg,OVA,Visual novel,1,Finished Airing,"Dec 21, 2006",30 min.,Rx - Hentai,6.54,2103,,4926,Flavors Soft,Hentai
33278,Qin Shi Ming Yue Tebie Pian: Di Zi Jiang Xi,秦时明月特别篇《帝子降兮》,https://myanimelist.cdn-dena.com/images/anime/10/79965.jpg,ONA,Novel,1,Finished Airing,"Feb 13, 2015",15 min.,PG-13 - Teens 13 or older,6.0,48,11848.0,10815,Sparkly Key Animation Studio,"Action, Historical, Martial Arts, Fantasy"
375,Bannou Bunka Neko-Musume (1998),万能文化猫娘,https://myanimelist.cdn-dena.com/images/anime/10/2875.jpg,TV,Original,12,Finished Airing,"Jan 7, 1998 to Mar 25, 1998",23 min. per ep.,PG-13 - Teens 13 or older,6.63,1812,5049.0,4984,Production Reed,"Action, Adventure, Comedy, Mecha, Sci-Fi, Seinen"
33490,Kaitou Joker 4th Season,怪盗ジョーカー シーズン,https://myanimelist.cdn-dena.com/images/anime/13/80551.jpg,TV,Manga,13,Finished Airing,"Oct 3, 2016 to Dec 26, 2016",24 min. per ep.,PG - Children,7.4,685,2027.0,6792,Shin-Ei Animation,"Adventure, Mystery, Comedy, Shounen"
3258,Lily C.A.T.,LILY-C.A.T.,https://myanimelist.cdn-dena.com/images/anime/12/5157.jpg,Movie,Original,1,Finished Airing,"Sep 1, 1987",1 hr. 7 min.,PG-13 - Teens 13 or older,6.06,1354,7203.0,5991,Studio Pierrot,"Space, Horror, Sci-Fi"
33758,Wu Geng Ji,武庚纪,https://myanimelist.cdn-dena.com/images/anime/10/81426.jpg,ONA,Manga,30,Finished Airing,"Jun 24, 2016 to Aug 24, 2017",16 min. per ep.,PG-13 - Teens 13 or older,7.38,143,2139.0,8732,Sparkly Key Animation Studio,"Action, Historical, Supernatural, Martial Arts, Fantasy"
23555,Neko no Dayan,猫のダヤン,https://myanimelist.cdn-dena.com/images/anime/5/60755.jpg,TV,Novel,52,Finished Airing,"Apr 26, 2014 to Apr 25, 2015",3 min. per ep.,G - All Ages,5.6,25,11432.0,10100,Kachidoki Studio,"Kids, Magic"
10659,Naruto Soyokazeden Movie: Naruto to Mashin to Mitsu no Onegai Dattebayo!!,劇場版NARUTO －ナルト－ そよ風伝 ナルトと魔神と3つのお願いだってばよ！！,https://myanimelist.cdn-dena.com/images/anime/10/31573.jpg,Movie,Original,1,Finished Airing,"Jul 31, 2010",14 min.,PG-13 - Teens 13 or older,7.08,15076,3275.0,2108,Studio Pierrot,"Action, Comedy, Martial Arts, Shounen, Super Power"
